0.944858 -152.019193 -132.338833 -132.254408 -132.233542
1.13383 -152.454486 -132.778102 -132.696904 -132.675472
1.3228 -152.660046 -132.978671 -132.901038 -132.878852
1.51177 -152.751305 -133.065098 -132.991449 -132.968076
1.70074 -152.784216 -133.096251 -133.027064 -133.001699
1.88972 -152.787264 -133.101729 -133.037524 -133.008793
2.07869 -152.775440 -133.097574 -133.038364 -133.004507
2.26766 -152.756909 -133.093027 -133.036256 -132.997431
2.45663 -152.736286 -133.091620 -133.032186 -132.993110
2.6456 -152.716253 -133.092052 -133.027800 -132.992425
2.83457 -152.698391 -133.092719 -133.025953 -132.994624
3.02355 -152.683601 -133.094007 -133.028674 -133.000425
3.21252 -152.672121 -133.097525 -133.036036 -133.011745
3.40149 -152.663092 -133.103761 -133.045249 -133.025688
3.59046 -152.653698 -133.109509 -133.051459 -133.036782
3.77943 -152.638047 -133.107417 -133.047935 -133.037781
3.9684 -152.605554 -133.085986 -133.024269 -133.017948
4.15738 -152.538151 -133.027131 -132.963070 -132.959748
4.34635 -152.405475 -132.900982 -132.835248 -132.833098
4.53532 -152.157190 -132.657867 -132.591844 -132.587709
4.72429 -151.713966 -132.219285 -132.153287 -132.145713
